show_id;listed_in-1;listed_in-2;listed_in-3
s1;Documentaries;;
s2;International TV Shows;TV Dramas;TV Mysteries
s3;Crime TV Shows;International TV Shows;TV Action & Adventure
s4;Docuseries;Reality TV;
s5;International TV Shows;Romantic TV Shows;TV Comedies
s6;TV Dramas;TV Horror;TV Mysteries
s7;Children & Family Movies;;
s8;Dramas;Independent Movies;International Movies
s9;British TV Shows;Reality TV;
s10;Comedies;Dramas;
s11;Crime TV Shows;Docuseries;International TV Shows
s12;Crime TV Shows;International TV Shows;TV Action & Adventure
s13;Dramas;International Movies;
s14;Children & Family Movies;Comedies;
s15;British TV Shows;Crime TV Shows;Docuseries
s16;TV Comedies;TV Dramas;
s17;Documentaries;International Movies;
s18;Crime TV Shows;Spanish-Language TV Shows;TV Dramas
s19;Thrillers;;
s20;International TV Shows;Spanish-Language TV Shows;TV Action & Adventure
s21;Crime TV Shows;Docuseries;International TV Shows
s22;International TV Shows;TV Action & Adventure;TV Dramas
s23;Comedies;International Movies;
s24;Children & Family Movies;;
s25;Comedies;International Movies;Romantic Movies
s26;Docuseries;International TV Shows;Reality TV
s27;Comedies;International Movies;Music & Musicals
s28;Comedies;;
s29;Horror Movies;Sci-Fi & Fantasy;
s30;Thrillers;;
s31;Dramas;Independent Movies;International Movies
s32;TV Comedies;;
s33;British TV Shows;International TV Shows;TV Comedies
s34;International TV Shows;TV Dramas;TV Thrillers
s35;Kids' TV;;
s36;Dramas;International Movies;Thrillers
s37;Action & Adventure;Dramas;International Movies
s38;Kids' TV;TV Comedies;
s39;Action & Adventure;Dramas;
s40;Kids' TV;;
s41;Kids' TV;TV Sci-Fi & Fantasy;
s42;Action & Adventure;Classic Movies;Dramas
s43;Dramas;Horror Movies;Thrillers
s44;Action & Adventure;Horror Movies;Thrillers
s45;Action & Adventure;Horror Movies;Thrillers
s46;Documentaries;;
s47;Action & Adventure;;
s48;International TV Shows;Romantic TV Shows;TV Comedies
s49;Dramas;Thrillers;
s50;International TV Shows;TV Dramas;
s51;International TV Shows;TV Dramas;TV Sci-Fi & Fantasy
s52;Action & Adventure;Anime Features;International Movies
s53;Action & Adventure;Anime Features;International Movies
s54;Action & Adventure;Anime Features;International Movies
s55;Action & Adventure;Anime Features;International Movies
s56;Reality TV;;
s57;Action & Adventure;Anime Features;International Movies
s58;Action & Adventure;Anime Features;International Movies
s59;Action & Adventure;Anime Features;International Movies
s60;Action & Adventure;Anime Features;International Movies
s61;Action & Adventure;Anime Features;International Movies
s62;Action & Adventure;Anime Features;International Movies
s63;Action & Adventure;Anime Features;International Movies
s64;Action & Adventure;Anime Features;International Movies
s65;Children & Family Movies;;
s66;Kids' TV;;
s67;Docuseries;International TV Shows;
s68;Kids' TV;TV Comedies;
s69;Documentaries;International Movies;Sports Movies
